Region,River,Riv,Hg_mmolperkgDS,Fe_mmolperkgDS,Co_mmolperkgDS,Cu_mmolperkgDS,Zn_mmolperkgDS,Cd_mmolperkgDS,Pb_mmolperkgDS,As_mmolperkgDS,MW Hg ,MW Fe ,MW Co ,MW Cu ,MW Zn ,MW Cd ,MW Pb ,MW As,Hg (mg/kg DS),Fe (mg/kg DS),Co (mg/kg DS),Cu (mg/kg DS),Zn (mg/kg DS),Cd (mg/kg DS),Pb (mg/kg DS),As (mg/kg DS)
Maas,Abeek1,abe,0.000117261,576.0426368,0.248500051,0.229784145,4.133750239,0.014692073,0.082387757,0.308033682,200.59,55.845,58.933,63.546,65.38,112.411,207.2,74.9216,0.023521478,32169.10105,14.64485352,14.60186326,270.2645906,1.651550607,17.07074315,23.07837631
Maas,Abeek2,abe,3.04E-05,194.8126959,0.085471228,0.159787582,1.460228774,0.005625234,0.037125031,0.108637359,200.59,55.845,58.933,63.546,65.38,112.411,207.2,74.9216,0.006106753,10879.315,5.037075907,10.15386167,95.46975725,0.632338132,7.692306524,8.139284755
Maas,Abeek3,abe,2.82E-05,171.0322272,0.084833685,0.061232917,1.775297206,0.006185147,0.02872936,0.083588128,200.59,55.845,58.933,63.546,65.38,112.411,207.2,74.9216,0.00565599,9551.294728,4.999503566,3.891106975,116.0689313,0.695278534,5.952723297,6.262556268
Maas,Abeek4,abe,8.88E-05,370.7456582,0.21784112,0.193075268,3.599166912,0.013880206,0.062190623,0.196804159,200.59,55.845,58.933,63.546,65.38,112.411,207.2,74.9216,0.017817151,20704.29128,12.83803073,12.26916096,235.3135327,1.560287844,12.88589715,14.74488245
Maas,Abeek5,abe,2.58E-05,212.1078159,0.109639165,0.079597922,1.520062142,0.006267415,0.032438521,0.111132404,200.59,55.845,58.933,63.546,65.38,112.411,207.2,74.9216,0.005173325,11845.16098,6.461364915,5.058129531,99.38166285,0.7045264,6.721261549,8.326217508
Maas,Witbeeek1,wit,3.79E-06,34.94889891,0.014025473,0.016217207,0.372954476,0.002779147,0.01805834,0.010689954,200.59,55.845,58.933,63.546,65.38,112.411,207.2,74.9216,0.000760627,1951.721259,0.826563219,1.030538637,24.38376363,0.312406681,3.741688146,0.800908476
Maas,Witbeeek2,wit,8.51E-06,59.25221057,0.021569879,0.037637776,1.087251529,0.001211331,0.029240844,0.013762989,200.59,55.845,58.933,63.546,65.38,112.411,207.2,74.9216,0.001707805,3308.939699,1.271177662,2.391730128,71.08450495,0.136166934,6.058702961,1.031145143
Maas,Witbeeek3,wit,7.07E-06,90.464138,0.028312472,0.019951885,0.536389531,0.000810579,0.023515877,0.025777344,200.59,55.845,58.933,63.546,65.38,112.411,207.2,74.9216,0.001417509,5051.969786,1.668538922,1.267862454,35.06914757,0.091118025,4.872489711,1.931279823
Maas,Witbeeek4,wit,1.31E-05,117.7925681,0.045945841,0.04982952,0.71844663,0.001433055,0.039894677,0.028020726,200.59,55.845,58.933,63.546,65.38,112.411,207.2,74.9216,0.002635752,6578.125965,2.707726253,3.166466698,46.97204067,0.161091151,8.26617711,2.099357622
Maas,Witbeeek5,wit,3.91E-06,40.06642679,0.018248112,0.016188084,0.458424309,0.000537706,0.016304045,0.011793306,200.59,55.845,58.933,63.546,65.38,112.411,207.2,74.9216,0.000784261,2237.509604,1.075416006,1.028688002,29.97178129,0.0604441,3.37819814,0.883573373
Maas,Jeker1,jek,0.000877753,355.0697016,0.114279696,0.803381692,7.534625655,0.011396806,0.279766851,0.084092372,200.59,55.845,58.933,63.546,65.38,112.411,207.2,74.9216,0.176068481,19828.86748,6.734845307,51.051693,492.6138253,1.281126358,57.96769148,6.300335072
Maas,Jeker2,jek,0.001298762,438.401137,0.138915517,0.920125804,8.668963955,0.014389419,0.336373965,0.109180226,200.59,55.845,58.933,63.546,65.38,112.411,207.2,74.9216,0.260518576,24482.5115,8.186708192,58.47031436,566.7768634,1.617528996,69.69668563,8.179957196
Maas,Jeker3,jek,0.001281337,368.3276357,0.118104616,0.737936716,6.583706932,0.010852031,0.277627848,0.090510876,200.59,55.845,58.933,63.546,65.38,112.411,207.2,74.9216,0.257023294,20569.25682,6.960259363,46.89292659,430.4427592,1.219887646,57.52449018,6.781219619
Maas,Jeker4,jek,0.001133963,386.5489526,0.127185187,0.573514953,5.471529215,0.009432338,0.251953319,0.102845548,200.59,55.845,58.933,63.546,65.38,112.411,207.2,74.9216,0.227461736,21586.82626,7.495404614,36.44458119,357.7285801,1.060298589,52.20472764,7.705353011
Maas,Jeker5,jek,0.000802015,315.214499,0.108187584,0.48348482,4.839866363,0.00831296,0.221943506,0.081188315,200.59,55.845,58.933,63.546,65.38,112.411,207.2,74.9216,0.160876161,17603.1537,6.375818916,30.72352638,316.4304628,0.934468103,45.98669441,6.082758496
